code,term
G36,bệnh mất myelin rải rác cấp tính khác
G37,bệnh mất myelin khác của hệ thần kinh trung ương
G37.5,concentric sclerosis [baló]
G40,bệnh động kinh
G41,trạng thái động kinh
G43,bệnh đau nửa đầu [migraine]
G44,hội chứng đau đầu khác
G45,cơn thiếu máu não bộ thoáng qua và/hoặc hội chứng liên quan
G46,hội chứng mạch máu não do bệnh mạch máu não (i60-i67)
G47,rối loạn giấc ngủ
G50,rối loạn dây thần kinh sinh ba [tam thoa] [v]
G51,rối loạn dây thần kinh mặt
G52,rối loạn dây thần kinh sọ khác
G53,rối loạn dây thần kinh sọ do bệnh phân loại mục khác
G54,rối loạn rễ thần kinh và/hoặc đám rối thần kinh
G55,chèn ép rễ thần kinh và/hoặc đám rối do bệnh phân loại mục khác
G56,bệnh lý đơn dây thần kinh chi trên
G57,bệnh lý đơn dây thần kinh của chi dưới
G58,bệnh lý đơn dây thần kinh khác
G59,bệnh lý đơn dây thần kinh do bệnh phân loại mục khác
G60,bệnh lý dây thần kinh di truyền và/hoặc vô căn
G61,bệnh lý viêm đa dây thần kinh
G61.0,guillain-barré syndrome
G62,bệnh lý đa dây thần kinh khác
G63,bệnh lý đa dây thần kinh do bệnh phân loại mục khác
G64,rối loạn khác của hệ thần kinh ngoại biên
G70,nhược cơ và/hoặc rối loạn thần kinh- cơ khác
G71,bệnh cơ nguyên phát
G72,bệnh lý cơ khác
G73,bệnh khớp thần kinh-cơ và/hoặc cơ do bệnh phân loại mục khác
G80,bệnh bại não
G81,hội chứng liệt nửa người [liệt một bên người]
G82,hội chứng liệt nửa người [dưới thắt lưng] và/hoặc liệt tứ chi
G83,hội chứng liệt khác
G90,rối loạn hệ thần kinh tự động
G91,bệnh não úng thủy
G92,bệnh lý não nhiễm độc
G93,rối loạn khác của não
G94,rối loạn khác của não do bệnh phân loại mục khác
G95,bệnh khác của tủy sống
G96,rối loạn khác của hệ thần kinh trung ương
G97,"rối loạn hệ thần kinh sau can thiệp, không phân loại mục khác"
G98,"rối loạn khác của hệ thần kinh, không phân loại mục khác"
G99,rối loạn khác của hệ thần kinh do bệnh phân loại mục khác
H00,lẹo và/hoặc chắp
H01,viêm khác của mi mắt
H02,rối loạn khác của mi mắt
H03,rối loạn mi mắt do bệnh phân loại mục khác
H04,rối loạn hệ thống lệ
H05,rối loạn hốc mắt
H06,rối loạn hệ thống lệ và/hoặc hốc mắt do bệnh phân loại mục khác
H10,viêm kết mạc
H11,rối loạn khác của kết mạc
H13,rối loạn kết mạc do bệnh phân loại mục khác
H15,rối loạn của củng mạc
H16,viêm giác mạc
H17,sẹo và/hoặc đục giác mạc
H18,rối loạn khác của giác mạc
H19,rối loạn củng mạc và/hoặc giác mạc do bệnh phân loại mục khác
H20,bệnh viêm mống mắt thể mi
H20,viêm mống mắt thể mi
H21,rối loạn khác của mống mắt và/hoặc thể mi
H22,rối loạn của mống mắt và/hoặc thể mi do bệnh phân loại mục khác
H25,đục thể thủy tinh tuổi già
H26,đục thể thủy tinh khác
H27,rối loạn khác của thể thủy tinh
H28,đục thể thủy tinh và/hoặc rối loạn khác của thể thủy tinh do bệnh phân loại mục khác
H30,viêm hắc võng mạc
H31,rối loạn khác của hắc mạc [màng mạch]
H32,rối loạn hắc [màng mạch] võng mạc do bệnh phân loại mục khác
H33,bong và/hoặc rách võng mạc
H34,tắc mạch máu võng mạc
H35,rối loạn võng mạc khác
H36,rối loạn võng mạc do bệnh phân loại mục khác
H40,glôcôm
H42,glôcôm do bệnh phân loại mục khác
H43,rối loạn dịch kính
H44,rối loạn nhãn cầu
H45,rối loạn dịch kính và/hoặc nhãn cầu do bệnh phân loại mục khác
H46,viêm thần kinh thị giác
H47,rối loạn khác của thần kinh thị giác [ii] và/hoặc đường thị giác
H48,rối loạn thần kinh thị giác [ii] và/hoặc đường thị giác do bệnh phân loại mục khác
H49,lác liệt
H50,lác khác
H51,rối loạn khác của vận nhãn hai mắt
H52,rối loạn khúc xạ và/hoặc điều tiết
H53,visual disturbances rối loạn thị giác
H54,thị lực giảm và/hoặc khiếm thị (hai mắt hoặc một mắt)
H55,rung giật nhãn cầu và/hoặc rối loạn vận nhãn khác
H57,rối loạn khác của mắt và/hoặc cấu trúc phụ cận của mắt
H58,rối loạn khác của mắt và/hoặc cấu trúc phụ cận của mắt do bệnh phân loại mục khác
H59,rối loạn của mắt và/hoặc cấu trúc phụ cận của mắt sau can thiệp không phân loại mục khác
H60,viêm tai ngoài
H61,rối loạn khác của tai ngoài
H62,rối loạn tai ngoài ở bệnh phân loại mục khác
H65,viêm tai giữa không có mủ
H66,viêm tai giữa có mủ và/hoặc viêm tai giữa không xác định
H67,viêm tai giữa do bệnh phân loại mục khác
H68,"viêm và/hoặc tắc vòi tai [vòi eustache, vòi nhĩ]"
H69,"rối loạn khác của vòi tai [vòi eustache, vòi nhĩ]"
H70,viêm xương chũm và/hoặc bệnh liên quan
H71,viêm tai giữa có cholesteatoma
H72,thủng màng nhĩ
H73,rối loạn khác của màng nhĩ
H74,rối loạn khác của tai giữa và/hoặc xương chũm
H75,rối loạn tai giữa và/hoặc xương chũm do bệnh phân loại mục khác
H80,xốp xơ tai
H81,rối loạn chức năng tiền đình
H81.0,ménière disease
H82,hội chứng chóng mặt do bệnh được phân loại mục khác
H83,bệnh khác của tai trong
H90,giảm thính lực dẫn truyền và/hoặc giảm thính lực thần kinh giác quan
H91,giảm thính lực khác
H92,đau tai và/hoặc tràn dịch tai
H93,"rối loạn khác của tai, không phân loại mục khác"
H94,rối loạn khác của tai do bệnh phân loại mục khác
H95,"rối loạn tai và/hoặc xương chũm sau can thiệp, không phân loại mục khác"
I00,bệnh sốt thấp không đề cập tác động đến tim
I01,bệnh sốt thấp có tác động đến tim
I02,múa giật do bệnh thấp
I05,bệnh van hai lá do bệnh thấp
I06,bệnh van động mạch chủ do bệnh thấp
I07,bệnh van ba lá do bệnh thấp
I08,bệnh lý của nhiều van tim
I09,bệnh thấp tim khác
I10,bệnh tăng huyết áp vô căn (nguyên phát)
I11,bệnh tim do tăng huyết áp
I12,bệnh thận do tăng huyết áp
I13,bệnh tim và bệnh thận do tăng huyết áp
I15,tăng huyết áp thứ phát
I20,cơn đau thắt ngực
I21,nhồi máu cơ tim cấp tính
I22,nhồi máu cơ tim tái phát
I23,biến chứng hiện tại xác định sau nhồi máu cơ tim cấp tính
I24,bệnh tim thiếu máu cục bộ cấp tính khác
I25,bệnh tim thiếu máu cục bộ mạn tính
I26,thuyên tắc mạch phổi
I27,bệnh tim phổi khác
I28,bệnh mạch máu phổi khác
I30,viêm màng ngoài tim cấp tính
I31,bệnh màng ngoài tim khác
I32,viêm màng ngoài tim do bệnh phân loại mục khác
I33,viêm nội tâm mạc cấp và/hoặc bán cấp
I34,rối loạn van hai lá không do bệnh thấp
I35,rối loạn van động mạch chủ không do bệnh thấp
I36,rối loạn van ba lá không do bệnh thấp
I37,rối loạn van động mạch phổi
I38,"viêm nội tâm mạc, không xác định van"
I39,viêm nội tâm mạc và/hoặc bệnh van tim do bệnh phân loại mục khác
I40,bệnh viêm cơ tim cấp
I41,bệnh viêm cơ tim do bệnh phân loại mục khác
I42,bệnh lý cơ tim
I43,bệnh lý cơ tim do bệnh phân loại mục khác
I44,blốc nhĩ thất và/hoặc nhánh trái
I45,rối loạn dẫn truyền khác
I46,ngưng tim
I47,nhịp nhanh kịch phát
I48,rung nhĩ và/hoặc cuồng nhĩ
I49,loạn nhịp tim khác
I51,biến chứng tim và/hoặc bệnh tim mô tả không rõ ràng
I52,rối loạn tim khác do bệnh phân loại mục khác
I60,xuất huyết dưới nhện
I61,xuất huyết não
I62,xuất huyết não không do chấn thương khác
I63,cerebral infarction nhồi máu não
I64,"đột quỵ, không xác định do xuất huyết hoặc nhồi máu"
I65,"tắc và/hoặc hẹp động mạch trước não, không dẫn đến nhồi máu não"
I66,"tắc và/hoặc hẹp động mạch não, không dẫn đến nhồi máu não"
I67,bệnh mạch máu não khác
I68,rối loạn mạch máu não do bệnh phân loại mục khác
I69,di chứng bệnh mạch máu não
I70,xơ vữa [xơ cứng] động mạch
I71,phình và/hoặc tách thành động mạch chủ
I71,phình và tách thành động mạch chủ
I72,phình và/hoặc tách động mạch khác
I73,bệnh mạch máu ngoại vi khác
I74,thuyên tắc và/hoặc huyết khối động mạch
I77,bệnh khác của hệ động mạch và/hoặc tiểu động mạch
I78,bệnh về mao mạch
I79,"rối loạn động mạch, tiểu động mạch và/hoặc mao mạch do bệnh phân loại mục khác"
I80,viêm tĩnh mạch và/hoặc viêm [tắc] tĩnh mạch huyết khối
I81,huyết khối tĩnh mạch cửa
I82,thuyên tắc và/hoặc huyết khối tĩnh mạch khác
I83,giãn tĩnh mạch chi dưới
I85,giãn tĩnh mạch thực quản
I86,giãn tĩnh mạch vị trí khác
I87,rối loạn khác của tĩnh mạch
I88,viêm hạch bạch huyết không xác định cụ thể
I88,viêm hạch bạch huyết nguyên phát [vô căn]
I89,rối loạn mạch bạch huyết và/hoặc hạch bạch huyết khác không do nhiễm trùng
I95,huyết áp thấp (hạ huyết áp)
I97,"rối loạn hệ tuần hoàn sau can thiệp, không phân loại mục khác"
I98,rối loạn khác của hệ tuần hoàn do bệnh phân loại mục khác
I99,rối loạn hệ tuần hoàn khác và/hoặc không xác định
J00,viêm mũi họng cấp tính [cảm thường]
J01,viêm xoang cấp tính
J02,viêm họng cấp tính
J03,viêm amydan cấp tính
J04,viêm thanh quản và/hoặc khí quản cấp tính
J05,viêm thanh quản tắc nghẽn [tắc nghẽn thanh quản] và/hoặc nắp thanh môn cấp tính
J06,nhiễm trùng đường hô hấp trên cấp tính ở nhiều vị trí và/hoặc vị trí không xác định
J09,cúm do virus cúm đã xác định truyền từ động vật hoặc đại dịch
J10,cảm cúm do virus cúm mùa đã xác định
J11,"cúm, không xác định được virus"
J12,"viêm phổi do virus, không phân loại mục khác"
J13,viêm phổi do vi khuẩn phế cầu khuẩn [streptococcus pneumoniae]
J14,viêm phổi do vi khuẩn haemophilus cúm [h. influenzae]
J15,"viêm phổi do vi khuẩn, không phân loại mục khác"
J16,"viêm phổi do vi sinh vật truyền nhiễm khác, không phân loại mục khác"
J17,viêm phổi ở bệnh phân loại mục khác
J18,"viêm phổi, không xác định vi sinh vật"
J20,viêm phế quản cấp tính
J20,viêm phế quản cấp
J21,viêm tiểu phế quản cấp tính
J22,nhiễm trùng hô hấp dưới cấp tính không xác định
J30,viêm mũi vận mạch và/hoặc viêm mũi dị ứng
J31,"viêm mũi, viêm mũi họng và/hoặc viêm họng mạn tính"
J32,viêm xoang mạn tính
J33,polyp mũi
J34,rối loạn khác của mũi và/hoặc xoang
J35,bệnh mạn tính của amydan và khối mô lympho ở vòm họng [va]
J36,áp xe quanh amydan
J37,viêm thanh quản và/hoặc viêm thanh khí quản mạn tính
J38,"bệnh của dây thanh âm và/hoặc thanh quản, không phân loại mục khác"
J39,bệnh khác của đường hô hấp trên
J40,"viêm phế quản, không xác định được là cấp tính hoặc mạn tính"
J41,viêm phế quản mạn tính đơn thuần và/hoặc nhầy mủ
J42,viêm phế quản mạn tính không xác định
J43,khí phế thũng [khí thũng phổi]
J44,bệnh phổi tắc nghẽn mạn tính khác
J45,hen phế quản [hen suyễn] [hen]
J46,quản ác tính
J47,giãn phế quản
J60,bệnh bụi phổi than nghề nghiệp
J61,bệnh bụi phổi amiăng và/hoặc sợi khoáng khác
J62,bệnh bụi phổi silic
J63,bệnh bụi phổi do bụi vô cơ khác
J64,bệnh bụi phổi không xác định
J65,bệnh bụi phổi liên quan đến bệnh lao
J66,bệnh đường thở do bụi hữu cơ cụ thể khác
J67,viêm phổi quá mẫn do bụi hữu cơ
J68,"bệnh hô hấp do hít hóa chất, khí, khói và/hoặc hơi"
J69,viêm phổi do chất rắn và/hoặc chất lỏng
J70,bệnh hô hấp do tác nhân bên ngoài khác
J80,hội chứng suy hô hấp ở người lớn
J81,pulmonary oedema phù phổi
J82,"tăng bạch cầu ái toan ở phổi, không phân loại mục khác"
J82,incl.: eosinophilic asthma löffler pneumonia tropical (pulmonary) eosinophilia nos excl.: due to: aspergillosis (b44.-) drugs (j70.2- j70.4) specified parasitic infection (b50- b83) systemic connective tissue disorders (m30-m36)
J84,bệnh phổi mô kẽ khác
J85,áp xe phổi và/hoặc trung thất
J86,viêm mủ lồng ngực
J90,"tràn dịch màng phổi, không phân loại mục khác"
J91,tràn dịch màng phổi do bệnh phân loại mục khác
J92,mảng xơ cứng màng phổi
J92,incl.: pleural thickening mảng xơ cứng màng phổi
J93,tràn khí màng phổi
J94,bệnh màng phổi khác
J95,"bệnh hô hấp sau can thiệp, không phân loại mục khác"
J96,"suy hô hấp, không phân loại mục khác"
J98,rối loạn hô hấp khác
J99,rối loạn hô hấp do bệnh phân loại mục khác
K00,rối loạn phát triển răng và/hoặc mọc răng
K01,răng mọc kẹt và/hoặc răng ngầm
K02,sâu răng
K03,bệnh mô cứng khác của răng
K04,bệnh tủy và/hoặc mô quanh chân răng
K05,viêm lợi [nướu] và/hoặc bệnh viêm nha chu
K06,rối loạn khác của lợi [nướu] và/hoặc sống hàm đã mất răng
K07,bất thường hàm mặt [bao gồm khớp cắn lệch]
K08,rối loạn khác của răng và/hoặc cấu trúc nâng đỡ
K09,"nang vùng miệng, không phân loại mục khác"
K10,bệnh khác của xương hàm
K11,bệnh tuyến nước bọt
K12,viêm miệng và/hoặc tổn thương liên quan
K13,bệnh khác của môi và/hoặc niêm mạc miệng
K14,bệnh của lưỡi
K20,viêm thực quản
K21,bệnh trào ngược dạ dày- thực quản
K22,bệnh khác của thực quản
K23,rối loạn thực quản do bệnh phân loại mục khác
K25,loét dạ dày
K26,loét tá tràng
K27,"loét dạ dày-tá tràng, vị trí không xác định"
K27,"""loét dạ dày-tá tràng vị trí không xác định"""
K28,loét dạ dày- hỗng tràng
K29,viêm dạ dày và/hoặc tá tràng
K30,rối loạn tiêu hóa chức năng [không do loét]
K31,bệnh khác của dạ dày và/hoặc tá tràng
K35,viêm ruột thừa cấp tính
K36,viêm ruột thừa khác
K37,viêm ruột thừa không xác định
K38,bệnh khác của ruột thừa
K40,thoát vị bẹn
K41,thoát vị đùi
K42,thoát vị rốn
K43,thoát vị thành bụng
K44,thoát vị cơ hoành
K45,thoát vị bụng khác
K46,thoát vị bụng không xác định
K50,bệnh crohn [viêm ruột từng vùng]
K51,viêm loét đại tràng
K52,viêm dạ dày- ruột và/hoặc viêm đại tràng khác không do nhiễm trùng
K55,rối loạn của mạch máu ruột
K56,liệt ruột và/hoặc tắc nghẽn ruột không có thoát vị
K57,bệnh túi thừa của ruột
K58,hội chứng ruột kích thích
K59,rối loạn chức năng khác của ruột
K60,nứt kẽ và/hoặc rò vùng hậu môn và/hoặc trực tràng
K61,áp xe vùng hậu môn và/hoặc trực tràng
K62,bệnh khác của hậu môn và/hoặc trực tràng
K63,bệnh khác của ruột
K64,bệnh trĩ và/hoặc huyết khối tĩnh mạch quanh hậu môn
K65,viêm phúc mạc
K66,rối loạn khác của phúc mạc
K67,rối loạn của phúc mạc do bệnh nhiễm trùng phân loại mục khác
K70,bệnh gan do rượu
K71,bệnh gan nhiễm độc
K72,"suy gan, không phân loại mục khác"
K73,"viêm gan mạn tính, không phân loại mục khác"
K74,xơ hóa gan và/hoặc xơ gan
K75,bệnh viêm gan khác
K76,bệnh gan khác
K77,rối loạn gan do bệnh phân loại mục khác
K80,bệnh sỏi mật
K81,viêm túi mật
K82,bệnh khác của túi mật
K83,bệnh khác của đường mật
K85,viêm tụy cấp tính
K86,bệnh khác của tụy
K87,"rối loạn của túi mật, đường mật và/hoặc tụy do bệnh phân loại mục khác"
K90,suy giảm hấp thu ở ruột
K91,"rối loạn của hệ tiêu hóa sau can thiệp, không phân loại mục khác"
K92,bệnh khác của hệ tiêu hóa
K93,rối loạn của cơ quan tiêu hóa khác do bệnh phân loại mục khác
L00,hội chứng bong vảy da do tụ cầu khuẩn
L01,bệnh chốc
L02,"áp xe da, nhọt và/hoặc cụm nhọt"
L03,viêm mô bào
L04,viêm hạch bạch huyết cấp tính
L05,u nang lông
L08,nhiễm trùng khu trú khác của da và/hoặc mô dưới da
L10,bệnh pemphigus
L11,rối loạn da ly gai khác
L12,bệnh bọng nước dạng pemphigus
L13,rối loạn da bọng nước khác
L14,bệnh lý da bọng nước do bệnh phân loại mục khác
L20,viêm da cơ địa
L21,viêm da dầu
L22,viêm da vùng tã (bỉm) [hăm tã]
L23,viêm da tiếp xúc dị ứng
L24,viêm da tiếp xúc kích ứng
L25,viêm da tiếp xúc không xác định
L26,đỏ da toàn thân [viêm da tróc vảy]
L27,viêm da do chất được đưa vào trong cơ thể
L28,lichen đơn dạng mạn tính và/hoặc sẩn ngứa
L29,ngứa
L30,viêm da khác
L40,bệnh vảy nến
L41,á vảy nến
L42,bệnh vảy phấn hồng
L43,lichen phẳng
L44,rối loạn sẩn có vảy khác
L45,rối loạn của sẩn tróc vảy da do bệnh phân loại mục khác
L50,bệnh mày đay
L51,hồng ban đa dạng
L52,erythema nodosum hồng ban nút
L53,trạng thái hồng ban khác
L54,hồng ban do bệnh phân loại mục khác
L55,bỏng [cháy] nắng
L56,thay đổi cấp tính khác của da do tia cực tím [tia tử ngoại]
L57,thay đổi của da do phơi nhiễm mạn tính với phóng xạ [bức xạ] không ion hóa
L58,viêm da do phóng xạ
L59,rối loạn khác ở da và/hoặc mô dưới da liên quan đến phóng xạ [bức xạ]
L60,rối loạn của móng
L62,rối loạn móng do bệnh phân loại mục khác
L63,rụng tóc thể mảng
L64,rụng tóc do nội tiết tố nam
L65,rụng tóc không sẹo khác
L66,rụng tóc có sẹo
L67,bất thường về màu và/hoặc sợi tóc
L68,chứng rậm lông tóc
L70,trứng cá
L70.5,acné excoriée
L71,trứng cá đỏ
L72,kén nang lông của da và/hoặc mô dưới da
L73,bệnh lý nang lông khác
L74,rối loạn của tuyến mồ hôi toàn hủy [eccrine]
L75,rối loạn tuyến mồ hôi đầu hủy [apocrine]
L80,bệnh bạch biến
L81,rối loạn sắc tố khác
L81.3,café au lait spots
L82,bệnh dày sừng tiết bã
L82,incl.: basal cell papilloma dermatosis papulosa nigra leser-trélat
L83,bệnh gai đen
L84,mắt cá và/hoặc vết chai chân
L85,dày thượng bì khác
L86,dày sừng do bệnh phân loại mục khác
L87,rối loạn của bệnh bài tiết qua thượng bì
L88,viêm da mủ hoại thư
L89,loét do tì đè và/hoặc loét vùng đè ép
L90,rối loạn teo da
L91,rối loạn phì đại của da
L92,u hạt của da và/hoặc mô dưới da
L93,bệnh lupus ban đỏ
L94,rối loạn mô liên kết khu trú khác
L95,"viêm mao mạch ở da, không phân loại mục khác"
L95,excl.: angioma serpiginosum (l81.7) granulomatosis with polyangiitis (m31.3) henoch(- schönlein) purpura (d69.0) hypersensitivity angiitis (m31.0) panniculitis (of): nos (m79.3) lupus (l93.2) neck and back (m54.0) relapsing [weber-christian] (m35.6) polyarteritis nodosa (m30.0) rheumatoid vasculitis (m05.2) serum sickness (t80.6) urticaria (l50.-)
L97,"loét chi dưới, không phân loại mục khác"
L98,"rối loạn khác của da và/hoặc mô dưới da, không phân loại mục khác"
L99,rối loạn khác của da và/hoặc mô dưới da do bệnh phân loại mục khác
M00,viêm khớp nhiễm khuẩn sinh mủ
M01,viêm khớp nhiễm trùng trực tiếp do bệnh nhiễm khuẩn và/hoặc ký sinh trùng phân loại mục khác
M02,bệnh lý khớp phản ứng
M02,[see site code at the beginning of this chapter] excl.: behçet disease (m35.2) rheumatic fever (i00)
M03,bệnh lý khớp sau nhiễm trùng và/hoặc bệnh lý khớp phản ứng phân loại mục khác
M05,viêm khớp dạng thấp huyết thanh dương tính
M06,viêm khớp dạng thấp khác
M07,bệnh lý khớp do vảy nến và/hoặc do bệnh lý viêm ruột
M08,viêm khớp thiếu niên
M09,viêm khớp thiếu niên do bệnh phân loại mục khác
M10,gút [thống phong]
M11,bệnh lý khớp do vi tinh thể khác
M12,bệnh lý khớp xác định khác
M13,viêm khớp khác
M14,bệnh lý khớp do bệnh phân loại mục khác
M15,thoái hóa đa khớp
M16,thoái hóa khớp háng [thoái hóa xương hông]
M17,thoái hóa khớp gối
M18,thoái hóa khớp cổ tay-khớp gốc ngón tay cái
M19,thoái hóa khớp khác
M20,biến dạng mắc phải của ngón tay và/hoặc ngón chân
M21,biến dạng mắc phải khác của các chi
M21.59,"acquired clawhand, clubhand, clawfoot and clubfoot, site únpecified"
M22,rối loạn của xương bánh chè
M23,tổn thương bên trong khớp gối
M24,tổn thương xác định khác ở khớp
M25,"rối loạn khớp khác, không phân loại mục khác"
M30,viêm nốt quanh động mạch và/hoặc bệnh liên quan
M31,bệnh lý mạch máu hoại tử khác
M31,bệnh mạch máu hoại tử khác
M32,bệnh lupus ban đỏ hệ thống
M33,bệnh viêm đa cơ và da
M34,bệnh xơ cứng bì toàn thể
M35,tổn thương hệ thống khác của mô liên kết
M35.0,sicca syndrome [sjögren]
M35.2,behçet disease
M36,tổn thương hệ thống của mô liên kết do bệnh phân loại mục khác
M40,gù và/hoặc ưỡn cột sống [lưng]
M41,vẹo cột sống
M42,bệnh thoái hóa xương sụn cột sống
M43,bệnh lý biến dạng khác của cột sống
M45,viêm đốt sống dính khớp
M45,[see site code before m40] incl.: rheumatoid arthritis of spine excl.: arthropathy in reiter disease (m02.3) behçet disease (m35.2) juvenile (ankylosing) spondylitis (m08.1)
M46,bệnh lý viêm đốt sống khác
M47,thoái hóa đốt sống
M48,bệnh lý đốt sống khác
M48,bệnh đốt sống khác
M49,bệnh lý đốt sống do bệnh phân loại mục khác
M50,rối loạn đĩa đệm đốt sống cổ
M51,rối loạn đĩa đệm cột sống khác
M53,"bệnh lý cột sống khác, không phân loại mục khác"
M54,đau lưng
M60,viêm cơ
M61,vôi hóa và/hoặc cốt hóa cơ
M62,rối loạn khác của cơ
M63,rối loạn cơ do bệnh phân loại mục khác
M65,viêm màng hoạt dịch và/hoặc viêm bao gân
M66,rách (đứt) tự phát của màng hoạt dịch và/hoặc gân
M67,rối loạn khác của màng hoạt dịch và/hoặc gân
M68,rối loạn màng hoạt dịch và/hoặc gân do bệnh phân loại mục khác
M70,"rối loạn mô mềm liên quan đến vận động, vận động quá mức và/hoặc bị chèn ép"
M71,hoạt dịch khác
M72,rối loạn nguyên bào sợi
M73,rối loạn mô mềm do bệnh phân loại mục khác
M73,rối loạn mô mềm trong bệnh phân loại mục khác
M75,tổn thương vai
M76,"bệnh lý điểm bám gân của chân, ngoại trừ bàn chân"
M77,bệnh lý điểm bám gân-dây chằng khác
M79,"rối loạn khác của mô mềm, không phân loại mục khác"
M80,loãng xương kèm gãy xương bệnh lý
M81,loãng xương không kèm gãy xương bệnh lý
M82,loãng xương do bệnh phân loại mục khác
M83,xương ở người lớn
M84,rối loạn về tính liên tục của xương
M85,rối loạn khác về mật độ và/hoặc cấu trúc xương
M86,viêm xương tủy
M87,hoại tử xương
M88,bệnh paget xương [viêm xương biến dạng]
M89,rối loạn khác của xương
M90,bệnh lý xương do bệnh phân loại mục khác
M91,thoái hóa xương sụn khớp háng và/hoặc khung chậu ở thiếu niên
M91.1,juvenile osteochondrosis of head of femur [legg-calvé- perthes]
M92,thoái hóa xương sụn khác ở tuổi thiếu niên
M93,bệnh lý xương sụn khác
M93.1,kienböck disease of adults
M94,rối loạn khác của sụn
M95,biến dạng mắc phải khác của hệ cơ xương khớp và/hoặc mô liên kết
M96,"rối loạn của hệ cơ xương khớp sau can thiệp, không phân loại mục khác"
M99,"tổn thương sinh-cơ học, không phân loại mục khác"
M99,"tổn thương sinh - cơ học, không phân loại mục khác"
N00,hội chứng viêm thận cấp tính
N01,hội chứng viêm thận tiến triển nhanh
N02,tiểu máu dai dẳng và/hoặc tái phát
N03,hội chứng viêm thận mạn tính
N04,hội chứng thận hư
N05,hội chứng viêm thận không xác định
N06,protein niệu đơn độc với tổn thương hình thái xác định
N07,"bệnh lý thận di truyền, không phân loại mục khác"
N08,rối loạn cầu thận do bệnh phân loại mục khác
N10,viêm ống thận mô kẽ cấp tính
N11,viêm ống thận mô kẽ mạn tính
N12,"viêm ống thận mô kẽ, không xác định cấp tính hay mạn tính"
N13,bệnh lý tiết niệu do tắc nghẽn và/hoặc trào ngược
N14,bệnh lý ống thận và/hoặc ống thận mô kẽ do thuốc và/hoặc kim loại nặng
N15,bệnh ống thận mô kẽ khác
N16,rối loạn ống thận mô kẽ do bệnh phân loại mục khác
N17,suy thận cấp tính
N18,bệnh thận mạn tính
N19,suy thận không xác định
N20,sỏi thận và/hoặc niệu quản
N21,sỏi đường tiết niệu dưới
N22,sỏi đường tiết niệu do bệnh phân loại mục khác
N23,cơn đau quặn thận không xác định
N25,rối loạn do suy giảm chức năng ống thận
N26,thận nhỏ không xác định
N27,thận teo nhỏ không rõ nguyên nhân
N28,"rối loạn khác của thận và/hoặc niệu quản, không phân loại mục khác"
N29,rối loạn khác của thận và/hoặc niệu quản do bệnh phân loại mục khác
N30,viêm bàng quang
N31,"rối loạn chức năng thần kinh- cơ bàng quang, không phân loại mục khác"
N32,rối loạn khác của bàng quang
N33,rối loạn bàng quang do bệnh phân loại mục khác
N34,viêm niệu đạo và/hoặc hội chứng niệu đạo
N35,co hẹp niệu đạo
N36,rối loạn khác của niệu đạo
N37,rối loạn niệu đạo do bệnh phân loại mục khác
N39,rối loạn khác của hệ tiết niệu
N40,phì đại [tăng sản] tuyến tiền liệt
N41,bệnh viêm tuyến tiền liệt
N42,rối loạn khác của tuyến tiền liệt
N43,tràn dịch màng tinh hoàn và/hoặc nang mào tinh hoàn
N44,xoắn tinh hoàn
N45,viêm tinh hoàn và/hoặc viêm mào tinh hoàn
N46,vô sinh ở nam giới
N47,"bao quy đầu dài, hẹp bao quy đầu và/hoặc thắt nghẹt bao quy đầu"
N48,rối loạn khác của dương vật
N49,"rối loạn viêm của cơ quan sinh dục nam, không phân loại mục khác"
N50,rối loạn khác của cơ quan sinh dục nam
N51,rối loạn cơ quan sinh dục nam do bệnh phân loại mục khác
N60,loạn sản vú lành tính
N61,rối loạn viêm của vú
N62,phì đại vú
N63,khối u không xác định ở vú
N64,rối loạn khác ở vú
N70,viêm vòi trứng và/hoặc viêm buồng trứng
N71,"bệnh viêm tử cung, trừ cổ tử cung"
N72,bệnh viêm cổ tử cung
N73,bệnh viêm khác của tiểu khung ở nữ giới
N74,rối loạn viêm tiểu khung ở nữ giới do bệnh phân loại mục khác
N75,bệnh của tuyến bartholin
N76,viêm khác của âm đạo và/hoặc âm hộ
N77,viêm và/hoặc loét âm hộ âm đạo do bệnh phân loại mục khác
N80,bệnh lạc nội mạc tử cung
N81,sa sinh dục nữ
N82,rò đường sinh dục ở nữ giới
N83,"rối loạn không do viêm của buồng trứng, vòi trứng và/hoặc dây chằng rộng"
N84,polyp đường sinh dục ở nữ giới
N85,"rối loạn khác không do viêm của tử cung, trừ cổ tử cung"
N86,trợt và/hoặc lộn cổ tử cung
N87,loạn sản cổ tử cung
N88,rối loạn khác không do viêm của cổ tử cung
N89,rối loạn khác không do viêm của âm đạo
N90,rối loạn khác không do viêm của âm hộ và/hoặc tầng sinh môn
N91,"vô kinh, thiểu kinh và/hoặc hiếm kinh"
N92,"kinh nguyệt quá nhiều, thường xuyên và/hoặc thất thường"
N93,chảy máu bất thường khác của tử cung và/hoặc âm đạo
N94,đau và/hoặc các tình trạng khác liên quan đến cơ quan sinh dục nữ và/hoặc chu kỳ kinh nguyệt
N95,rối loạn mãn kinh và/hoặc rối loạn tiền mãn kinh
N96,chứng sảy thai liên tục [tái phát]
N97,vô sinh ở nữ giới
N98,biến chứng liên quan đến thụ tinh nhân tạo
